epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[-0.8434901237487793, -0.6332102417945862, 0.13331514596939087, 2.401221990585327, 0.5170891284942627, 0.1287798434495926, 4.670011520385742, 4.641976356506348, 6.438180923461914, 2.2058920860290527, 9.668771743774414, 3.3449323177337646, 10.09428882598877, 8.688398361206055, 6.899929523468018, 10.701831817626953, 8.496940612792969, -0.014448851346969604, 11.448283195495605, 5.664283275604248, 3.586893081665039, 12.482222557067871, 11.410360336303711, 8.623760223388672, 10.095683097839355, 13.641263008117676, 15.773773193359375, 10.73491096496582, 15.666820526123047, 13.169126510620117, 6.967159271240234, 18.99710464477539]","[11.278429985046387, 11.469383239746094, 10.794939041137695, 10.8421630859375, 10.882240295410156, 10.500020027160645, 10.472627639770508, 10.343622207641602, 10.456377029418945, 10.543766975402832, 10.385393142700195, 10.538969039916992, 10.187686920166016, 9.993335723876953, 10.193693161010742, 10.153804779052734, 10.400749206542969, 10.597307205200195, 10.5597562789917, 10.724512100219727, 10.549016952514648, 9.967368125915527, 10.353870391845703, 10.196846961975098, 10.151004791259766, 10.144576072692871, 9.928232192993164, 10.297807693481445, 10.068157196044922, 10.032870292663574, 10.169599533081055, 10.11544418334961]",10.422623634338379,10.143747329711914
1,"[-9.11456298828125, -11.18303108215332, -15.36082935333252, -7.098789215087891, -8.094594955444336, -8.043668746948242, 0.039802730083465576, 0.6173354983329773, 7.556502342224121, 8.526626586914062, 10.56517505645752, 7.867794513702393, 11.621335983276367, 7.83188009262085, 11.548014640808105, 15.085947036743164, 14.620715141296387, 17.078067779541016, 13.061983108520508, 9.795585632324219, 14.881561279296875, 11.237970352172852, 17.15386199951172, 12.60869026184082, 16.14254379272461, 18.318561553955078, 15.840316772460938, 18.532142639160156, 18.340885162353516, 19.377765655517578, 21.199199676513672, 22.33803939819336]","[10.316734313964844, 10.597756385803223, 10.64588451385498, 10.480504989624023, 10.29537296295166, 10.39646053314209, 10.135845184326172, 9.901172637939453, 9.846651077270508, 9.691141128540039, 9.559686660766602, 9.635845184326172, 9.58311653137207, 9.623727798461914, 9.498176574707031, 9.379598617553711, 9.575838088989258, 9.306397438049316, 9.474504470825195, 9.453990936279297, 9.308319091796875, 9.404886245727539, 9.156723022460938, 9.309066772460938, 9.204705238342285, 9.042583465576172, 9.214622497558594, 8.958152770996094, 9.034833908081055, 8.81061840057373, 8.981239318847656, 8.778867721557617]",9.600604057312012,8.36496639251709
2,"[-5.159092903137207, -7.518787384033203, -6.90617036819458, -7.081128120422363, -6.684387683868408, -8.231380462646484, -7.607706546783447, -6.538708686828613, -6.201321601867676, -4.7916646003723145, -3.9080374240875244, -3.9671201705932617, -2.450688362121582, -3.3807215690612793, -2.989017963409424, -5.127810955047607, -3.6631274223327637, -1.632699728012085, -2.6259918212890625, -1.4592604637145996, -2.414367437362671, -1.8146045207977295, -0.9835497736930847, -0.5082284808158875, -0.45171308517456055, -0.698077380657196, -0.9299024939537048, -1.1943399906158447, 0.9431460499763489, -0.8787338137626648, 0.529803991317749, -2.6278085708618164]","[8.68017578125, 8.832998275756836, 8.784470558166504, 8.660514831542969, 8.93301773071289, 8.864809036254883, 8.768182754516602, 8.709646224975586, 8.750295639038086, 8.712479591369629, 8.524101257324219, 8.649896621704102, 8.537782669067383, 8.606398582458496, 8.378595352172852, 8.653560638427734, 8.506326675415039, 8.47890567779541, 8.528120040893555, 8.353433609008789, 8.497060775756836, 8.404830932617188, 8.418720245361328, 8.392324447631836, 8.390024185180664, 8.291194915771484, 8.34892463684082, 8.49306869506836, 8.236443519592285, 8.373825073242188, 8.18122673034668, 8.811057090759277]",8.548612594604492,8.021028518676758
3,"[-4.116367340087891, -3.3872900009155273, -3.9518332481384277, -3.2658934593200684, -3.20947265625, -3.322798490524292, -4.180556297302246, -3.1465506553649902, -3.3149800300598145, -3.7467904090881348, -2.730229616165161, -3.3291945457458496, -2.493917942047119, -3.223843812942505, -2.530773162841797, -3.0285518169403076, -2.306396961212158, -2.9591825008392334, -1.7788166999816895, -1.3469884395599365, -1.9482766389846802, -1.3971951007843018, -2.3716228008270264, -1.898374319076538, -1.8663272857666016, -2.712747097015381, -1.90691077709198, -2.118121862411499, -2.0227842330932617, -0.7724119424819946, -1.03737473487854, -2.614414930343628]","[8.392637252807617, 8.185310363769531, 8.318283081054688, 8.224906921386719, 8.275938987731934, 8.248003005981445, 8.364127159118652, 8.288142204284668, 8.30966567993164, 8.288650512695312, 8.106974601745605, 8.230755805969238, 8.150297164916992, 8.252382278442383, 8.216354370117188, 8.214888572692871, 8.18410873413086, 8.246158599853516, 8.09223747253418, 8.086732864379883, 8.220268249511719, 8.038573265075684, 8.125429153442383, 8.148174285888672, 8.168485641479492, 8.203384399414062, 8.080606460571289, 8.115675926208496, 8.240964889526367, 8.056023597717285, 8.127297401428223, 8.00719165802002]",8.198504447937012,7.763851642608643
4,"[-3.908517837524414, -3.4885096549987793, -3.654738426208496, -3.4091715812683105, -3.26261568069458, -3.8058297634124756, -2.740295886993408, -3.230742931365967, -3.632751941680908, -3.424131393432617, -3.417809247970581, -3.076597213745117, -3.4321327209472656, -3.0946133136749268, -2.8874642848968506, -2.332557201385498, -2.987755060195923, -2.749342679977417, -2.3469479084014893, -2.372217893600464, -3.2369940280914307, -3.841792106628418, -2.6793863773345947, -2.607851982116699, -1.7335071563720703, -2.9609603881835938, -4.608645439147949, -2.90773606300354, -2.609809398651123, -3.1581497192382812, -2.4831936359405518, -2.8292598724365234]","[8.036083221435547, 8.050670623779297, 8.102340698242188, 8.023012161254883, 8.078951835632324, 7.990403175354004, 8.003751754760742, 8.080713272094727, 7.982913970947266, 8.057153701782227, 7.938227653503418, 8.049788475036621, 7.963939666748047, 7.909513473510742, 7.975790500640869, 7.980379104614258, 8.043212890625, 7.978049278259277, 7.961098670959473, 7.904423236846924, 7.98699951171875, 8.116920471191406, 8.027008056640625, 7.967555046081543, 7.905247688293457, 7.942077159881592, 8.027344703674316, 8.022699356079102, 7.976036071777344, 8.02583122253418, 8.011455535888672, 7.991493225097656]",8.003759384155273,7.734037399291992
5,"[-2.585334062576294, -2.2095372676849365, -1.8237919807434082, -3.0287909507751465, -2.790365695953369, -2.7233376502990723, -2.953853130340576, -2.485214948654175, -1.8782342672348022, -2.236635208129883, -1.7595208883285522, -2.239290714263916, -1.1699638366699219, -1.9462101459503174, -2.4435176849365234, -1.9749962091445923, -2.7815160751342773, -1.984379529953003, -1.472185492515564, -1.6808019876480103, -1.242743730545044, -1.9925265312194824, -1.0729103088378906, -1.3713304996490479, -2.022998571395874, -0.6315662860870361, -0.7671241760253906, -1.653571367263794, -0.786041796207428, -1.330112338066101, -1.3243036270141602, -2.398846387863159]","[8.03712272644043, 7.982203483581543, 7.901425361633301, 7.9802165031433105, 7.984113693237305, 7.934842109680176, 8.017173767089844, 8.01095962524414, 8.011907577514648, 7.868536472320557, 7.821150779724121, 7.8293328285217285, 7.8399152755737305, 7.857990741729736, 7.922013282775879, 7.915541172027588, 7.966489791870117, 7.810436248779297, 7.917465686798096, 7.7924675941467285, 7.689118385314941, 7.822770118713379, 7.8766326904296875, 7.876902103424072, 7.928278923034668, 7.817325592041016, 7.822322845458984, 7.786317825317383, 7.839979648590088, 7.808082103729248, 7.777686595916748, 7.729620933532715]",7.884132385253906,7.552084922790527
6,"[-2.392225503921509, -2.594491958618164, -2.936654806137085, -2.2745795249938965, -1.9621421098709106, -2.4649205207824707, -2.4952199459075928, -2.4089927673339844, -1.7617084980010986, -2.240077257156372, -2.936159610748291, -2.1512084007263184, -1.4966039657592773, -2.3528475761413574, -1.298548936843872, -2.126342535018921, -2.172725200653076, -2.2740120887756348, -1.3046156167984009, -2.1122865676879883, -1.557997226715088, -2.227663516998291, -2.440329074859619, -1.8541836738586426, -1.5376120805740356, -1.9520560503005981, -1.876076340675354, -2.1278162002563477, -1.6829438209533691, -2.0915987491607666, -1.9839204549789429, -1.0091201066970825]","[7.7466254234313965, 7.765311241149902, 7.821789264678955, 7.692363739013672, 7.759166717529297, 7.742537498474121, 7.753286838531494, 7.794702053070068, 7.793881416320801, 7.785806655883789, 7.845880508422852, 7.816153526306152, 7.700346946716309, 7.729195594787598, 7.7699689865112305, 7.719128608703613, 7.72814416885376, 7.768904685974121, 7.774785995483398, 7.710061550140381, 7.661944389343262, 7.72776985168457, 7.685628890991211, 7.725405693054199, 7.847615718841553, 7.755730628967285, 7.680840492248535, 7.694631099700928, 7.623507022857666, 7.662818431854248, 7.8869853019714355, 7.7414703369140625]",7.747401714324951,7.4861063957214355
7,"[-1.7350636720657349, -2.269073724746704, -1.7249994277954102, -2.4672064781188965, -1.860391616821289, -2.42629075050354, -1.9403918981552124, -1.6874067783355713, -2.420466899871826, -2.461484909057617, -2.168196678161621, -2.1525561809539795, -2.455465316772461, -1.7307374477386475, -2.053704261779785, -1.7341349124908447, -1.8360705375671387, -1.9687762260437012, -1.4864317178726196, -1.7104095220565796, -1.9180009365081787, -1.8441959619522095, -1.2674938440322876, -1.5330896377563477, -1.7645829916000366, -1.3416075706481934, -1.7791671752929688, -1.47879958152771, -1.4832053184509277, -1.9370386600494385, -1.6478841304779053, -1.184409499168396]","[7.763637542724609, 7.648440361022949, 7.699857711791992, 7.726987838745117, 7.7525224685668945, 7.713181495666504, 7.764560699462891, 7.706023693084717, 7.732987403869629, 7.7263898849487305, 7.704638957977295, 7.665808200836182, 7.6516313552856445, 7.652952194213867, 7.5733747482299805, 7.628277778625488, 7.678607940673828, 7.60361385345459, 7.56157112121582, 7.7318949699401855, 7.665253639221191, 7.6455488204956055, 7.59196138381958, 7.629432201385498, 7.6090312004089355, 7.6370954513549805, 7.620720863342285, 7.597088813781738, 7.682140350341797, 7.620630264282227, 7.551421165466309, 7.757135391235352]",7.66325044631958,7.413517951965332
8,"[-2.1047210693359375, -2.7735023498535156, -2.08935809135437, -2.071909189224243, -1.8973031044006348, -2.4393205642700195, -2.2419381141662598, -2.29543399810791, -2.818220615386963, -1.9175649881362915, -2.123995304107666, -1.7987070083618164, -2.187694787979126, -1.6259498596191406, -1.8024959564208984, -2.145355701446533, -2.4790291786193848, -2.197087287902832, -1.8313689231872559, -1.9030743837356567, -1.530835509300232, -1.4287868738174438, -1.41957688331604, -1.7064365148544312, -1.9493911266326904, -1.3013672828674316, -1.5850002765655518, -1.3755507469177246, -1.5769342184066772, -1.3653424978256226, -1.5165786743164062, -2.009955883026123]","[7.615489959716797, 7.65502405166626, 7.697149276733398, 7.6043853759765625, 7.571407794952393, 7.644834518432617, 7.695860385894775, 7.559568405151367, 7.7617011070251465, 7.591224670410156, 7.605776786804199, 7.645163059234619, 7.578852653503418, 7.510066986083984, 7.632989406585693, 7.61204719543457, 7.728317737579346, 7.630342483520508, 7.600177764892578, 7.660429954528809, 7.623840808868408, 7.6522603034973145, 7.5823540687561035, 7.548590183258057, 7.6178483963012695, 7.568039894104004, 7.584456443786621, 7.614066123962402, 7.563490867614746, 7.5815019607543945, 7.438237190246582, 7.578731060028076]",7.611845970153809,7.3819169998168945
9,"[-1.7181024551391602, -1.1658594608306885, -2.190585136413574, -2.091250419616699, -1.9994382858276367, -1.4855713844299316, -1.9818336963653564, -2.1303298473358154, -1.903247356414795, -1.4246290922164917, -2.1357667446136475, -2.0431182384490967, -2.083737373352051, -1.7978299856185913, -1.7640550136566162, -2.0589444637298584, -1.743754267692566, -1.5250636339187622, -1.6587636470794678, -0.9817400574684143, -1.547454833984375, -1.5050768852233887, -1.336446762084961, -1.1267975568771362, -1.2772061824798584, -1.2252929210662842, -0.9677704572677612, -1.0063568353652954, -0.9050008654594421, -1.368553638458252, -1.4178171157836914, -0.1995483785867691]","[7.646162509918213, 7.549449920654297, 7.736968040466309, 7.640181541442871, 7.620037078857422, 7.495050430297852, 7.62476921081543, 7.565976142883301, 7.571666717529297, 7.477728843688965, 7.630415916442871, 7.6407318115234375, 7.571418762207031, 7.663236141204834, 7.595948219299316, 7.678411483764648, 7.520031929016113, 7.559859275817871, 7.5588226318359375, 7.493577003479004, 7.549057483673096, 7.480803489685059, 7.548051834106445, 7.563553810119629, 7.489588737487793, 7.523690223693848, 7.523353576660156, 7.444012641906738, 7.492436408996582, 7.59674072265625, 7.437410354614258, 7.605167865753174]",7.5644941329956055,7.307587623596191
