epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[105.71322631835938, 290.43548583984375, 751.343505859375, 1017.94091796875, 1032.799560546875, 962.255615234375, 963.4813232421875, 980.9985961914062, 923.4236450195312, 913.3851318359375, 920.4686279296875, 950.721435546875, 1024.0206298828125, 1004.180419921875, 983.04150390625, 999.3909301757812, 950.554443359375, 936.746337890625, 888.1069946289062, 843.0089111328125, 832.6913452148438, 802.5587158203125, 811.4780883789062, 845.453369140625, 884.1751708984375, 866.045654296875, 909.54248046875, 939.5033569335938, 903.1795654296875, 942.9915771484375, 950.8450317382812, 943.5670166015625]","[29.3713321685791, 28.410167694091797, 24.34114646911621, 22.380664825439453, 21.313064575195312, 21.122962951660156, 20.98043441772461, 20.49638557434082, 20.603002548217773, 20.38735008239746, 19.894018173217773, 18.92641258239746, 18.971012115478516, 18.72730827331543, 19.04545783996582, 19.090450286865234, 19.19566535949707, 19.99094581604004, 20.14333724975586, 20.42656135559082, 20.797000885009766, 20.453441619873047, 20.538021087646484, 20.557361602783203, 20.091949462890625, 19.51007843017578, 18.95275115966797, 18.916189193725586, 18.51589012145996, 18.511539459228516, 18.395864486694336, 18.439311981201172]",20.59736442565918,16.51082420349121
1,"[-154.96307373046875, -135.43746948242188, -155.388671875, -165.136962890625, -157.73574829101562, -150.7875213623047, -125.80790710449219, -140.45834350585938, -127.599609375, -123.81507873535156, -141.0989227294922, -149.59422302246094, -123.15536499023438, -141.3130340576172, -140.79193115234375, -111.31439971923828, -109.41557312011719, -103.6482925415039, -119.32881164550781, -68.835693359375, -82.59803771972656, -67.68405151367188, -78.46231079101562, -41.68736267089844, -72.68270874023438, -65.04258728027344, -58.79587936401367, -30.69046401977539, -32.61547088623047, -37.952491760253906, -37.993324279785156, -29.52431297302246]","[18.550426483154297, 18.406383514404297, 18.693782806396484, 18.670948028564453, 18.71466064453125, 18.25676918029785, 18.444866180419922, 18.144289016723633, 18.39708709716797, 18.21849822998047, 18.344215393066406, 18.39337921142578, 18.342803955078125, 18.433185577392578, 18.214115142822266, 17.986927032470703, 18.172039031982422, 17.804004669189453, 17.824100494384766, 17.616069793701172, 17.746341705322266, 17.686073303222656, 17.414167404174805, 17.462387084960938, 17.540590286254883, 17.57101058959961, 17.16305160522461, 16.98574447631836, 17.017698287963867, 17.11457061767578, 17.13471221923828, 17.116455078125]",17.943809509277344,15.098212242126465
2,"[-147.72613525390625, -155.77304077148438, -126.38301849365234, -138.09323120117188, -134.767822265625, -124.46607971191406, -131.6270751953125, -136.05763244628906, -132.66555786132812, -119.79010772705078, -123.38143920898438, -133.3385009765625, -125.43838500976562, -113.20265197753906, -127.99845886230469, -108.97331237792969, -131.9884033203125, -112.42837524414062, -116.40019226074219, -109.39651489257812, -103.74412536621094, -119.17959594726562, -101.14685821533203, -97.46675872802734, -105.49772644042969, -100.11033630371094, -80.38591766357422, -98.63592529296875, -100.73258972167969, -98.69622039794922, -107.67832946777344, -104.82965850830078]","[17.13786506652832, 17.03905487060547, 17.016441345214844, 17.04199981689453, 17.005332946777344, 16.806703567504883, 16.945133209228516, 16.89726448059082, 16.87649154663086, 16.823413848876953, 16.899276733398438, 16.901309967041016, 16.649269104003906, 16.640403747558594, 16.72916030883789, 16.666080474853516, 16.813827514648438, 16.69833755493164, 16.58477783203125, 16.538753509521484, 16.611831665039062, 16.844654083251953, 16.429658889770508, 16.42753791809082, 16.70431900024414, 16.574037551879883, 16.282686233520508, 16.559837341308594, 16.47736930847168, 16.54990005493164, 16.743526458740234, 16.563827514648438]",16.73783302307129,14.676495552062988
3,"[-136.51905822753906, -140.75660705566406, -136.48922729492188, -132.65597534179688, -128.4825439453125, -126.59014892578125, -118.12640380859375, -123.75338745117188, -116.08334350585938, -120.07170867919922, -109.06522369384766, -107.68461608886719, -112.13227844238281, -111.638916015625, -111.74522399902344, -103.29988861083984, -114.11792755126953, -109.26271057128906, -101.08033752441406, -103.42371368408203, -115.74546813964844, -111.77718353271484, -109.09838104248047, -101.51994323730469, -105.51280212402344, -102.68082427978516, -111.82249450683594, -105.29270935058594, -108.88079833984375, -98.56006622314453, -118.62405395507812, -104.80143737792969]","[16.611183166503906, 16.869489669799805, 16.711959838867188, 16.58271026611328, 16.453678131103516, 16.389883041381836, 16.353853225708008, 16.528160095214844, 16.398643493652344, 16.310062408447266, 16.25430679321289, 16.31707763671875, 16.268836975097656, 16.3345947265625, 16.26024055480957, 16.350914001464844, 16.30298614501953, 16.26664924621582, 15.992030143737793, 16.21074676513672, 16.456317901611328, 16.323772430419922, 16.241817474365234, 16.292863845825195, 16.23049545288086, 16.223220825195312, 16.307279586791992, 16.293630599975586, 16.276535034179688, 16.126996994018555, 16.261449813842773, 16.026042938232422]",16.34588623046875,14.195834159851074
4,"[-133.6358184814453, -143.9059600830078, -127.10823059082031, -135.5179901123047, -131.12066650390625, -130.8233184814453, -127.8328628540039, -139.9009552001953, -130.8332061767578, -124.06764221191406, -134.3647918701172, -139.44244384765625, -127.50949096679688, -129.4524383544922, -127.10960388183594, -139.505859375, -133.1167755126953, -136.00848388671875, -120.88446044921875, -127.49240112304688, -128.46607971191406, -124.3139877319336, -129.40927124023438, -116.79046630859375, -129.40365600585938, -114.46011352539062, -118.9622802734375, -114.33195495605469, -125.18730926513672, -131.318115234375, -120.53326416015625, -113.87649536132812]","[16.155399322509766, 16.356876373291016, 16.133798599243164, 16.185550689697266, 16.371423721313477, 16.302715301513672, 16.238800048828125, 16.271360397338867, 16.29734992980957, 16.116867065429688, 16.29193115234375, 16.227867126464844, 16.27542495727539, 16.11998748779297, 16.033966064453125, 16.247970581054688, 16.094423294067383, 16.097049713134766, 16.10613441467285, 15.974116325378418, 16.143726348876953, 16.057456970214844, 16.044811248779297, 16.097244262695312, 15.955342292785645, 16.153011322021484, 16.02764892578125, 16.105226516723633, 16.147254943847656, 15.951751708984375, 16.03594970703125, 15.987228393554688]",16.147687911987305,14.196123123168945
5,"[-115.46852111816406, -130.53765869140625, -126.13642883300781, -127.02262115478516, -126.54037475585938, -128.10760498046875, -125.58157348632812, -123.76482391357422, -125.04171752929688, -128.64576721191406, -130.59915161132812, -134.80621337890625, -131.25616455078125, -123.219970703125, -115.7175521850586, -129.7784423828125, -121.2435531616211, -113.37440490722656, -116.4918441772461, -122.98795318603516, -117.66244506835938, -126.98234558105469, -119.78907775878906, -108.21119689941406, -118.94198608398438, -120.71569061279297, -122.12377166748047, -114.6755599975586, -119.37471771240234, -111.76970672607422, -124.34761810302734, -125.39842987060547]","[16.005386352539062, 15.98870849609375, 16.13391876220703, 16.00761604309082, 16.110958099365234, 16.047100067138672, 16.018138885498047, 16.0494441986084, 16.073591232299805, 16.14026641845703, 15.962770462036133, 16.142562866210938, 16.01824378967285, 16.015548706054688, 15.998740196228027, 16.113971710205078, 15.903755187988281, 15.924945831298828, 16.061359405517578, 16.156108856201172, 16.013038635253906, 16.105262756347656, 16.038516998291016, 15.905183792114258, 15.990335464477539, 15.9320707321167, 15.939894676208496, 15.97843074798584, 15.969161033630371, 15.872537612915039, 15.938325881958008, 15.786109924316406]",16.01607894897461,14.204855918884277
6,"[-122.16184997558594, -117.55023193359375, -123.43814086914062, -122.87466430664062, -126.40484619140625, -125.70321655273438, -120.69447326660156, -115.69503784179688, -118.3661117553711, -122.37149047851562, -117.98429870605469, -108.24542236328125, -112.16755676269531, -108.85301208496094, -109.11153411865234, -114.58039855957031, -109.94169616699219, -110.57339477539062, -118.77938842773438, -111.75502014160156, -132.54620361328125, -125.34343719482422, -118.27252197265625, -127.1640853881836, -130.44879150390625, -119.28187561035156, -120.05879211425781, -114.89595031738281, -118.7866439819336, -114.02848815917969, -114.80872344970703, -123.28446960449219]","[16.005950927734375, 16.007686614990234, 16.094118118286133, 15.986970901489258, 15.94401741027832, 15.975081443786621, 15.8311128616333, 15.938886642456055, 15.937822341918945, 15.908699035644531, 15.848575592041016, 15.837437629699707, 15.962414741516113, 15.812686920166016, 15.809953689575195, 15.928720474243164, 15.847722053527832, 15.860579490661621, 15.888574600219727, 15.849194526672363, 16.157041549682617, 15.908244132995605, 15.860759735107422, 15.988883972167969, 15.886322021484375, 15.9254789352417, 16.14554214477539, 15.906440734863281, 16.0301570892334, 15.908035278320312, 16.00188446044922, 16.216800689697266]",15.937575340270996,14.058859825134277
7,"[-122.42652893066406, -127.02696228027344, -113.26216888427734, -119.30958557128906, -112.67861938476562, -125.25289916992188, -112.1416015625, -132.40380859375, -118.77352905273438, -108.1608657836914, -131.634521484375, -120.3148422241211, -120.16494750976562, -121.50509643554688, -117.46617126464844, -119.042724609375, -127.13630676269531, -117.43630981445312, -114.8807144165039, -125.12669372558594, -115.90257263183594, -122.74178314208984, -117.68280029296875, -125.00785064697266, -114.96121215820312, -111.19295501708984, -119.59416961669922, -116.49423217773438, -118.52823638916016, -111.24049377441406, -115.90739440917969, -110.78334045410156]","[15.865501403808594, 15.936725616455078, 15.913076400756836, 15.845660209655762, 15.84807014465332, 15.858949661254883, 16.025890350341797, 15.989408493041992, 15.83615493774414, 16.012800216674805, 15.961918830871582, 15.85418701171875, 15.98036003112793, 15.921478271484375, 15.906490325927734, 15.983170509338379, 15.924192428588867, 15.735990524291992, 15.816904067993164, 15.840238571166992, 15.820756912231445, 15.829702377319336, 15.808427810668945, 15.81353759765625, 15.751182556152344, 15.859678268432617, 15.725605010986328, 15.789895057678223, 15.71456527709961, 15.727210998535156, 15.758344650268555, 15.76501178741455]",15.859115600585938,13.92424201965332
8,"[-118.00541687011719, -120.75042724609375, -135.75196838378906, -127.68810272216797, -118.80113220214844, -118.94285583496094, -118.30557250976562, -116.27778625488281, -121.47523498535156, -125.6476821899414, -120.29216003417969, -127.12589263916016, -117.90166473388672, -126.27696990966797, -121.76717376708984, -120.66444396972656, -120.3095932006836, -116.42701721191406, -122.06404113769531, -122.46269226074219, -126.22100830078125, -111.94163513183594, -120.12418365478516, -110.83942413330078, -110.53779602050781, -110.78046417236328, -115.60246276855469, -113.51399993896484, -113.30815887451172, -103.25588989257812, -109.77864074707031, -117.99295043945312]","[15.638750076293945, 15.768880844116211, 16.050273895263672, 15.824487686157227, 15.72018051147461, 15.758193969726562, 15.768257141113281, 15.701793670654297, 15.75130844116211, 15.61697006225586, 15.843605995178223, 15.774171829223633, 15.65866470336914, 15.721145629882812, 15.662603378295898, 15.726171493530273, 15.723806381225586, 15.858406066894531, 15.850829124450684, 15.684268951416016, 15.794702529907227, 15.669975280761719, 15.719047546386719, 15.639080047607422, 15.675107955932617, 15.723657608032227, 15.660517692565918, 15.596098899841309, 15.674951553344727, 15.542263984680176, 15.6820068359375, 15.458866119384766]",15.723037719726562,13.863604545593262
9,"[-125.77981567382812, -116.53303527832031, -122.45697021484375, -119.31854248046875, -122.72727966308594, -114.43415832519531, -113.21173858642578, -111.0627212524414, -115.058837890625, -113.61369323730469, -115.07522583007812, -106.17007446289062, -112.47630310058594, -125.40139770507812, -119.61320495605469, -118.96968078613281, -116.00372314453125, -118.48989868164062, -105.25688934326172, -114.36613464355469, -108.97877502441406, -114.69491577148438, -120.75137329101562, -117.14356994628906, -111.8946533203125, -119.63591003417969, -104.65626525878906, -109.73370361328125, -106.89552307128906, -106.0771484375, -114.7354736328125, -121.35092163085938]","[15.615480422973633, 15.550849914550781, 15.585041046142578, 15.654316902160645, 15.61637020111084, 15.565045356750488, 15.599270820617676, 15.420053482055664, 15.679332733154297, 15.559186935424805, 15.607398986816406, 15.40298843383789, 15.512832641601562, 15.737812042236328, 15.67074966430664, 15.60990047454834, 15.483316421508789, 15.659347534179688, 15.603168487548828, 15.677576065063477, 15.614194869995117, 15.663275718688965, 15.721782684326172, 15.769065856933594, 15.48262882232666, 15.619333267211914, 15.4190673828125, 15.50511360168457, 15.54946231842041, 15.522309303283691, 15.691693305969238, 15.787822723388672]",15.594078063964844,13.911458969116211
