epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[-3.297762393951416, 0.05003839731216431, 2.6131510734558105, 6.669975280761719, 7.451488971710205, 3.3135502338409424, 6.069332122802734, 4.350057601928711, 12.399023056030273, 10.212448120117188, 11.341346740722656, 15.888263702392578, 15.570413589477539, 20.82921600341797, 19.534982681274414, 20.41313934326172, 26.65641212463379, 24.13292694091797, 24.392311096191406, 24.512975692749023, 25.59669303894043, 29.835813522338867, 28.502866744995117, 27.365577697753906, 24.974098205566406, 26.594703674316406, 18.04937171936035, 23.650279998779297, 20.910335540771484, 21.31037139892578, 21.2025146484375, 22.89643096923828, 25.08926773071289, 25.541667938232422, 25.528968811035156, 32.71466064453125, 30.596126556396484, 22.684993743896484, 26.373788833618164, 25.138051986694336, 27.37717628479004, 23.29393768310547, 23.79641342163086, 18.951936721801758, 18.296436309814453, 17.352508544921875, 24.110116958618164, 20.732799530029297, 19.72795867919922, 19.671428680419922, 25.49112319946289, 21.440277099609375, 21.557315826416016, 23.39458465576172, 18.756153106689453, 21.006107330322266, 13.531198501586914, 13.7203950881958, 12.406509399414062, 14.553947448730469, 12.493881225585938, 13.696897506713867, 11.713300704956055]","[11.095398902893066, 11.279428482055664, 10.514025688171387, 10.855445861816406, 10.6353120803833, 10.562320709228516, 10.513359069824219, 10.322344779968262, 10.110591888427734, 10.031216621398926, 9.777355194091797, 9.678804397583008, 9.67011547088623, 9.542308807373047, 9.733394622802734, 9.485834121704102, 9.606854438781738, 9.568183898925781, 9.512815475463867, 9.487074851989746, 9.594165802001953, 9.436689376831055, 9.404428482055664, 9.513492584228516, 9.411639213562012, 9.44487190246582, 9.502676963806152, 9.763425827026367, 9.464038848876953, 9.339126586914062, 9.61302661895752, 9.4091796875, 9.480012893676758, 9.481605529785156, 9.32853889465332, 9.206275939941406, 9.300954818725586, 9.274467468261719, 9.130807876586914, 9.196849822998047, 9.272886276245117, 9.371843338012695, 9.62463092803955, 9.69980239868164, 9.849096298217773, 9.556143760681152, 9.74203872680664, 9.540932655334473, 9.603723526000977, 9.503637313842773, 9.368524551391602, 9.581869125366211, 9.468005180358887, 9.395462036132812, 9.5733060836792, 9.484635353088379, 9.610912322998047, 9.788070678710938, 9.857654571533203, 9.910385131835938, 9.928075790405273, 9.807846069335938, 9.887943267822266]",9.708191871643066,9.758347511291504
1,"[-3.6436986923217773, -2.883148670196533, 0.054721176624298096, -0.3117827773094177, -0.3099968433380127, -1.9432963132858276, 0.9428932666778564, 3.2759947776794434, 1.605012059211731, 2.1824824810028076, 4.242753982543945, 5.45854377746582, 5.106031894683838, 8.522708892822266, 8.187417984008789, 9.465265274047852, 10.801530838012695, 9.38227653503418, 12.295060157775879, 11.974113464355469, 13.054910659790039, 13.171749114990234, 14.23166561126709, 11.913556098937988, 14.83740520477295, 11.98234748840332, 8.391404151916504, 10.341384887695312, 9.253376007080078, 11.971405029296875, 10.345985412597656, 9.348478317260742, 7.251122951507568, 8.231221199035645, 10.61373519897461, 10.785945892333984, 10.981504440307617, 13.023038864135742, 13.136734962463379, 13.516557693481445, 12.902334213256836, 11.23530387878418, 13.941656112670898, 14.141521453857422, 14.462581634521484, 12.576967239379883, 14.846776962280273, 12.629379272460938, 14.0840425491333, 14.5950288772583, 13.02629280090332, 13.334505081176758, 11.383708953857422, 10.202272415161133, 9.77661418914795, 13.376745223999023, 8.99487018585205, 6.406233310699463, 9.784828186035156, 1.6055762767791748, 5.598177909851074, 1.3738207817077637, -2.4377286434173584]","[10.045148849487305, 10.021062850952148, 9.880706787109375, 9.70933723449707, 9.735222816467285, 9.617788314819336, 9.685437202453613, 9.675314903259277, 9.59585189819336, 9.26683235168457, 9.237174987792969, 9.250422477722168, 9.046096801757812, 9.004636764526367, 9.059183120727539, 8.928095817565918, 8.711045265197754, 8.9006986618042, 8.725154876708984, 8.581629753112793, 8.585105895996094, 8.709073066711426, 8.640591621398926, 8.5093994140625, 8.74026870727539, 8.564637184143066, 8.803775787353516, 8.778209686279297, 8.746682167053223, 8.982909202575684, 8.714810371398926, 8.945979118347168, 9.019161224365234, 8.82187557220459, 8.835611343383789, 8.666736602783203, 8.809638023376465, 8.806556701660156, 8.779779434204102, 8.777681350708008, 8.86973762512207, 8.671610832214355, 8.731155395507812, 8.720794677734375, 8.662912368774414, 8.614835739135742, 8.722543716430664, 8.746253967285156, 8.834328651428223, 8.748032569885254, 8.733846664428711, 8.67688274383545, 8.636137962341309, 8.7557373046875, 8.956247329711914, 8.746246337890625, 8.982576370239258, 9.179411888122559, 9.168790817260742, 9.337898254394531, 9.174842834472656, 9.351449012756348, 9.483946800231934]",8.986873626708984,9.100876808166504
2,"[-6.880146026611328, 0.014255642890930176, -3.585275650024414, -0.06758952140808105, -0.4696328639984131, -0.5780502557754517, 3.519620895385742, 3.37304425239563, 5.431522846221924, 1.4222660064697266, 9.101880073547363, 9.097356796264648, 8.737457275390625, 8.176519393920898, 3.288475751876831, 9.194564819335938, 7.743137359619141, 12.618560791015625, 5.093573570251465, 9.715731620788574, 6.440108776092529, 6.848864555358887, 6.9211320877075195, 5.62947416305542, 5.66823148727417, 7.608105182647705, 7.088104248046875, 5.100031852722168, 8.18014907836914, 6.047952175140381, 5.79331111907959, 11.414262771606445, 9.835550308227539, 11.251219749450684, 10.474538803100586, 8.300064086914062, 11.588139533996582, 12.296157836914062, 10.197897911071777, 9.86209774017334, 9.94195556640625, 13.877239227294922, 9.803115844726562, 12.133920669555664, 13.411808013916016, 11.913795471191406, 12.42666244506836, 9.377237319946289, 10.736577987670898, 14.91944694519043, 13.967557907104492, 12.536691665649414, 10.956094741821289, 8.459877967834473, 10.660280227661133, 11.255887985229492, 9.111274719238281, 8.870641708374023, 9.439163208007812, 8.708703994750977, 11.578181266784668, 9.525793075561523, 10.75491714477539]","[9.527575492858887, 9.396181106567383, 9.41016960144043, 9.331201553344727, 9.325366973876953, 9.077037811279297, 8.951260566711426, 8.857059478759766, 8.822966575622559, 8.780130386352539, 8.790914535522461, 8.736924171447754, 8.652214050292969, 8.552297592163086, 8.618074417114258, 8.713216781616211, 8.572011947631836, 8.506562232971191, 8.619516372680664, 8.616936683654785, 8.512801170349121, 8.692449569702148, 8.526935577392578, 8.572593688964844, 8.46592903137207, 8.550357818603516, 8.433151245117188, 8.50710391998291, 8.457508087158203, 8.440476417541504, 8.441091537475586, 8.402799606323242, 8.412049293518066, 8.337884902954102, 8.36762809753418, 8.312931060791016, 8.271038055419922, 8.264183044433594, 8.241294860839844, 8.249897003173828, 8.325796127319336, 8.233619689941406, 8.324999809265137, 8.201103210449219, 8.350874900817871, 8.231853485107422, 8.38369369506836, 8.222416877746582, 8.28801441192627, 8.210453987121582, 8.228682518005371, 8.209158897399902, 8.188501358032227, 8.195764541625977, 8.19808578491211, 8.080427169799805, 8.085319519042969, 8.133478164672852, 8.139435768127441, 8.01898193359375, 8.105463027954102, 8.084161758422852, 8.073674201965332]",8.492716789245605,7.755315780639648
3,"[-5.186843395233154, -6.123448848724365, -5.307193756103516, -4.969995975494385, -6.87082576751709, -6.564015865325928, -6.852375030517578, -5.161106586456299, -6.039276123046875, -6.438915729522705, -7.239331245422363, -5.80289888381958, -6.8414387702941895, -6.68234920501709, -7.164151191711426, -6.445471286773682, -6.033725261688232, -5.49329948425293, -6.727560520172119, -5.390888214111328, -6.15975284576416, -4.601091384887695, -5.550951957702637, -4.308383941650391, -3.263138771057129, -4.261714935302734, -2.9441046714782715, -3.325286865234375, -4.037487983703613, -2.2918238639831543, -2.6317553520202637, -1.2607042789459229, -2.3590095043182373, -2.004117250442505, -1.7142279148101807, -2.897132158279419, -2.448850631713867, -1.7379646301269531, -1.8624532222747803, -1.6265919208526611, -2.5490169525146484, -1.53042471408844, -1.4726183414459229, -1.549474835395813, -2.244396924972534, -1.9211877584457397, -1.0547897815704346, -0.7982197999954224, -1.2979556322097778, -2.130303144454956, -1.0472662448883057, -2.0072693824768066, -1.389723777770996, -1.2957658767700195, -1.7740013599395752, -0.37884601950645447, -0.33449864387512207, -0.9346968531608582, -1.248260736465454, -0.5961717367172241, -0.9047632813453674, -0.9087326526641846, -0.686408519744873]","[8.204410552978516, 8.012555122375488, 8.176063537597656, 8.262968063354492, 8.191099166870117, 8.188010215759277, 8.192291259765625, 8.200950622558594, 8.236748695373535, 8.192523956298828, 8.23415470123291, 8.243310928344727, 8.221039772033691, 8.241037368774414, 8.269746780395508, 8.329686164855957, 8.241877555847168, 8.148621559143066, 8.146088600158691, 8.210681915283203, 8.194214820861816, 8.156163215637207, 8.145164489746094, 8.067399024963379, 8.16424560546875, 8.01485538482666, 8.102975845336914, 8.0419921875, 7.999210357666016, 7.949515342712402, 7.968929767608643, 7.9432220458984375, 7.921896934509277, 7.926574230194092, 7.836926460266113, 8.03418254852295, 7.984335899353027, 7.900594711303711, 7.863688945770264, 7.871431827545166, 7.903326034545898, 7.91425895690918, 7.992310523986816, 7.858090877532959, 7.954364776611328, 7.833063125610352, 7.848763465881348, 7.744739532470703, 7.8341569900512695, 7.874422073364258, 7.739530563354492, 7.861611366271973, 7.797046661376953, 7.832596302032471, 7.749470233917236, 7.725878715515137, 7.789263725280762, 7.803783416748047, 7.791741371154785, 7.84738826751709, 7.8681559562683105, 7.824335098266602, 7.9151611328125]",8.009236335754395,7.503965854644775
4,"[-2.932229518890381, -2.5733895301818848, -2.875929355621338, -2.0894289016723633, -3.2783870697021484, -2.9227991104125977, -3.1986119747161865, -2.457317352294922, -2.8654263019561768, -2.6676368713378906, -2.5698819160461426, -2.50738525390625, -2.4096908569335938, -2.486600399017334, -2.125430107116699, -2.1339550018310547, -2.4144644737243652, -2.4336118698120117, -1.9676942825317383, -2.77862286567688, -2.387314796447754, -2.7228426933288574, -2.3638370037078857, -2.2718095779418945, -2.4309401512145996, -2.4236679077148438, -2.0920815467834473, -2.2665092945098877, -1.788344383239746, -2.6055901050567627, -2.5908241271972656, -1.6069085597991943, -1.30923330783844, -2.2023754119873047, -1.9997576475143433, -2.077165365219116, -2.3738179206848145, -2.664580821990967, -1.5595431327819824, -1.8961255550384521, -1.4657028913497925, -1.749302625656128, -1.5672760009765625, -1.5820798873901367, -1.3916682004928589, -0.9013514518737793, -1.5435271263122559, -1.5020272731781006, -1.5665041208267212, -1.6212022304534912, -1.4250998497009277, -1.4964730739593506, -1.1107755899429321, -1.09593665599823, -1.4697351455688477, -1.083827257156372, -2.1073811054229736, -1.382673740386963, -1.279576063156128, -1.036916971206665, -1.2116479873657227, -1.2719836235046387, -2.0807108879089355]","[7.940573692321777, 7.7062458992004395, 7.691135883331299, 7.715986251831055, 7.815740585327148, 7.772492408752441, 7.807406902313232, 7.768423080444336, 7.777775764465332, 7.767844200134277, 7.766301155090332, 7.737683296203613, 7.732391834259033, 7.6422319412231445, 7.805246829986572, 7.804891586303711, 7.715662002563477, 7.7989726066589355, 7.702019691467285, 7.793127059936523, 7.814544677734375, 7.722851276397705, 7.733610153198242, 7.692955017089844, 7.728079795837402, 7.702716827392578, 7.631211280822754, 7.591140270233154, 7.630262851715088, 7.780197620391846, 7.753796577453613, 7.699660301208496, 7.646017074584961, 7.677275657653809, 7.617959976196289, 7.755818843841553, 7.764581680297852, 7.6224164962768555, 7.6607255935668945, 7.59195613861084, 7.633670330047607, 7.634617328643799, 7.712505340576172, 7.616124629974365, 7.675113677978516, 7.692225933074951, 7.568071365356445, 7.557916641235352, 7.645586967468262, 7.73138952255249, 7.671764850616455, 7.628154277801514, 7.6510443687438965, 7.514993190765381, 7.545040607452393, 7.5824480056762695, 7.708634376525879, 7.586391925811768, 7.575471878051758, 7.632150650024414, 7.646147727966309, 7.717541694641113, 7.625203609466553]",7.693113327026367,7.391189098358154
5,"[-2.6092848777770996, -1.7363123893737793, -1.9455775022506714, -2.441831111907959, -2.2345991134643555, -1.9229936599731445, -1.9144845008850098, -2.0627598762512207, -1.4919359683990479, -1.9441205263137817, -1.968330979347229, -2.230977773666382, -2.0081653594970703, -2.0175254344940186, -2.537039279937744, -1.5945159196853638, -1.8159043788909912, -2.407114267349243, -1.4150879383087158, -2.1780776977539062, -1.8552982807159424, -2.11997652053833, -1.4378118515014648, -1.2947914600372314, -1.6036267280578613, -1.6721527576446533, -2.2604405879974365, -1.459262728691101, -1.1651465892791748, -1.8625059127807617, -1.7792906761169434, -1.6392754316329956, -1.4538958072662354, -1.5180604457855225, -1.6506969928741455, -1.6318323612213135, -0.6314916014671326, -1.2982170581817627, -1.2199121713638306, -1.197295904159546, -1.4382445812225342, -1.0606448650360107, -1.4549235105514526, -1.2411861419677734, -1.5719895362854004, -1.4627206325531006, -1.2196789979934692, -1.4209396839141846, -0.8860501050949097, -1.479431390762329, -1.5076838731765747, -1.4128367900848389, -1.2093831300735474, -0.5879597067832947, -1.515304446220398, -1.049535870552063, -1.8526363372802734, -1.1023555994033813, -1.4847573041915894, -1.843743085861206, -1.2549850940704346, -1.8213268518447876, -1.312292218208313]","[7.666851997375488, 7.516924858093262, 7.574409008026123, 7.645760536193848, 7.646155834197998, 7.624680995941162, 7.639499664306641, 7.5838518142700195, 7.541167259216309, 7.565186500549316, 7.5308427810668945, 7.6073102951049805, 7.608915328979492, 7.535924911499023, 7.66625452041626, 7.570269584655762, 7.469440937042236, 7.699690818786621, 7.534624099731445, 7.534894943237305, 7.504873752593994, 7.514507293701172, 7.540639400482178, 7.536251068115234, 7.630411624908447, 7.540482997894287, 7.654785633087158, 7.5871171951293945, 7.52227783203125, 7.590810775756836, 7.600773811340332, 7.563989162445068, 7.473868370056152, 7.614260673522949, 7.537940979003906, 7.505265712738037, 7.435745716094971, 7.56870698928833, 7.583896636962891, 7.533687591552734, 7.649474143981934, 7.476478099822998, 7.569498062133789, 7.500969886779785, 7.610759258270264, 7.522675514221191, 7.454936981201172, 7.521969795227051, 7.431145668029785, 7.545291900634766, 7.55926513671875, 7.555807113647461, 7.492607116699219, 7.564108848571777, 7.511021137237549, 7.487949371337891, 7.6454901695251465, 7.554745674133301, 7.5287699699401855, 7.591780662536621, 7.560007095336914, 7.513799667358398, 7.68886661529541]",7.559935569763184,7.349741458892822
6,"[-1.7407664060592651, -2.0924696922302246, -2.077894926071167, -1.629652976989746, -1.7238857746124268, -1.307039737701416, -1.31795072555542, -2.0203518867492676, -1.151139497756958, -1.4644560813903809, -1.4518736600875854, -1.865139365196228, -1.4940965175628662, -1.9776191711425781, -1.218189001083374, -1.4990828037261963, -1.714369297027588, -1.026147484779358, -1.6640444993972778, -1.3306615352630615, -2.0198299884796143, -1.8457847833633423, -1.4221642017364502, -1.6307380199432373, -1.583740234375, -1.5991108417510986, -1.519026756286621, -1.4672698974609375, -1.7506089210510254, -1.8134791851043701, -2.036106824874878, -1.4515647888183594, -1.5813864469528198, -1.452751636505127, -2.0236592292785645, -1.5733779668807983, -2.195678234100342, -1.7965161800384521, -1.4255282878875732, -1.632756233215332, -1.8263278007507324, -1.4176881313323975, -1.3447046279907227, -1.488315463066101, -1.3121927976608276, -0.8170275688171387, -1.4879093170166016, -1.7351194620132446, -1.3038949966430664, -1.229828119277954, -0.9060163497924805, -1.3082761764526367, -0.8362320065498352, -1.4280356168746948, -1.2200183868408203, -1.1025164127349854, -1.1168339252471924, -1.272750735282898, -1.1579426527023315, -1.216530203819275, -1.5159591436386108, -0.9676084518432617, -1.3961656093597412]","[7.469289779663086, 7.5854105949401855, 7.5503435134887695, 7.4556708335876465, 7.47596549987793, 7.506041526794434, 7.570511817932129, 7.541749000549316, 7.511460781097412, 7.521759033203125, 7.527986526489258, 7.43874454498291, 7.543765544891357, 7.5403337478637695, 7.390146732330322, 7.477572917938232, 7.543708801269531, 7.494061470031738, 7.514759063720703, 7.477398872375488, 7.519222259521484, 7.539394378662109, 7.474841117858887, 7.500823020935059, 7.491510391235352, 7.45511531829834, 7.6004228591918945, 7.5143890380859375, 7.4262590408325195, 7.5024871826171875, 7.424951553344727, 7.540447235107422, 7.4973649978637695, 7.556057929992676, 7.615363121032715, 7.429553985595703, 7.484954357147217, 7.3582563400268555, 7.453985214233398, 7.513628959655762, 7.530900955200195, 7.462752342224121, 7.438126087188721, 7.424313545227051, 7.548120021820068, 7.42844295501709, 7.388125419616699, 7.4831976890563965, 7.398461818695068, 7.501874923706055, 7.408830642700195, 7.3653059005737305, 7.386946201324463, 7.543350696563721, 7.4127197265625, 7.3730645179748535, 7.439234733581543, 7.489762783050537, 7.485446929931641, 7.432631015777588, 7.469439506530762, 7.425045013427734, 7.568938732147217]",7.4825005531311035,7.276599407196045
7,"[-1.4851584434509277, -1.615669846534729, -1.6180061101913452, -1.439103126525879, -1.6140329837799072, -1.00273597240448, -1.3205506801605225, -1.5251713991165161, -1.5931527614593506, -1.5849297046661377, -1.8245943784713745, -1.6738694906234741, -1.3432642221450806, -1.474053144454956, -1.5839546918869019, -1.4109801054000854, -1.6858893632888794, -0.6549499034881592, -1.261275291442871, -1.065851092338562, -1.0335291624069214, -1.6318039894104004, -1.2660729885101318, -1.0644830465316772, -1.0164971351623535, -1.155483603477478, -1.243224859237671, -1.3421285152435303, -1.1412453651428223, -1.000997543334961, -1.0796027183532715, -1.0254266262054443, -1.3997159004211426, -1.2457222938537598, -1.4027400016784668, -1.3827061653137207, -1.4767351150512695, -1.668302059173584, -0.8703304529190063, -1.3493435382843018, -1.265466570854187, -1.0322380065917969, -1.1965351104736328, -0.9178958535194397, -1.039000391960144, -1.2716020345687866, -1.2138633728027344, -0.8407015800476074, -0.9405667185783386, -0.9413034915924072, -1.6459619998931885, -0.823190450668335, -1.1261725425720215, -1.3715163469314575, -1.084517240524292, -1.089232325553894, -1.466153621673584, -0.9236130714416504, -0.9885020852088928, -1.0455818176269531, -1.2122341394424438, -1.0233088731765747, -1.2595322132110596]","[7.503942489624023, 7.453491687774658, 7.428247451782227, 7.4860076904296875, 7.374292373657227, 7.450748920440674, 7.440247535705566, 7.4916253089904785, 7.468062400817871, 7.430166244506836, 7.454123020172119, 7.441441535949707, 7.432387828826904, 7.5094194412231445, 7.412148475646973, 7.446127891540527, 7.4107255935668945, 7.422784328460693, 7.485854148864746, 7.45756721496582, 7.523360252380371, 7.446894645690918, 7.426050662994385, 7.394308090209961, 7.444666385650635, 7.439774036407471, 7.476339340209961, 7.390659809112549, 7.418020248413086, 7.442178249359131, 7.4738593101501465, 7.376286506652832, 7.4455366134643555, 7.389129638671875, 7.494560718536377, 7.417071342468262, 7.427525520324707, 7.54968786239624, 7.3955159187316895, 7.38005256652832, 7.409955024719238, 7.3913068771362305, 7.391086101531982, 7.514533996582031, 7.317569732666016, 7.504110336303711, 7.4705352783203125, 7.437460899353027, 7.368991851806641, 7.374781608581543, 7.416356086730957, 7.420126438140869, 7.439289569854736, 7.312941551208496, 7.3773040771484375, 7.306417465209961, 7.442008018493652, 7.371074676513672, 7.40610408782959, 7.444059371948242, 7.358691215515137, 7.418707847595215, 7.282320022583008]",7.428567886352539,7.210601329803467
8,"[-1.6570563316345215, -1.74790620803833, -1.591740608215332, -1.3827078342437744, -1.7622690200805664, -1.5913501977920532, -1.8376543521881104, -1.6651122570037842, -1.2894916534423828, -1.6348791122436523, -1.646445870399475, -1.2937419414520264, -1.2423166036605835, -0.6774062514305115, -1.666410207748413, -1.5406267642974854, -1.4972907304763794, -1.5164780616760254, -1.3303403854370117, -1.2054023742675781, -1.322180986404419, -1.217587947845459, -1.0232951641082764, -1.5009148120880127, -1.4569426774978638, -1.2739334106445312, -1.128499150276184, -0.9990048408508301, -1.3815975189208984, -1.141318917274475, -1.375605583190918, -0.8277550935745239, -1.2369699478149414, -1.2991790771484375, -1.4015400409698486, -0.9417412281036377, -0.8823587894439697, -1.1220495700836182, -1.1535155773162842, -1.1000645160675049, -0.6682412624359131, -0.7705634832382202, -0.8783357739448547, -1.113908290863037, -1.0293159484863281, -1.2488319873809814, -1.2388248443603516, -0.9857890605926514, -1.1280745267868042, -0.5116241574287415, -1.4597406387329102, -1.4165623188018799, -0.9228098392486572, -1.3868632316589355, -1.1432535648345947, -0.7894564270973206, -1.0624526739120483, -1.3258275985717773, -0.7897243499755859, -0.6952652931213379, -1.2815251350402832, -1.07093346118927, -0.6956169605255127]","[7.485052108764648, 7.36766242980957, 7.3946990966796875, 7.330684661865234, 7.424622058868408, 7.39579963684082, 7.41435432434082, 7.334845542907715, 7.379762649536133, 7.387975692749023, 7.391445159912109, 7.377531051635742, 7.342803955078125, 7.299154281616211, 7.412752628326416, 7.361005783081055, 7.410314559936523, 7.4632439613342285, 7.325284004211426, 7.325680255889893, 7.392027378082275, 7.348548889160156, 7.337621688842773, 7.330039024353027, 7.41001033782959, 7.343825340270996, 7.331075191497803, 7.29837703704834, 7.327350616455078, 7.334619522094727, 7.319401741027832, 7.155981063842773, 7.418967247009277, 7.357672691345215, 7.409540176391602, 7.313472747802734, 7.3895673751831055, 7.333138465881348, 7.311313152313232, 7.365115165710449, 7.340345859527588, 7.269258499145508, 7.299195766448975, 7.306892395019531, 7.390006065368652, 7.361509799957275, 7.349367141723633, 7.317273139953613, 7.34996223449707, 7.2564802169799805, 7.361470699310303, 7.224743843078613, 7.336720943450928, 7.351748466491699, 7.2900471687316895, 7.271054267883301, 7.281776428222656, 7.292172431945801, 7.318599700927734, 7.302148818969727, 7.427224159240723, 7.391017913818359, 7.266937255859375]",7.346797943115234,7.122618675231934
9,"[-1.626697063446045, -1.1782993078231812, -1.3513506650924683, -1.4640381336212158, -1.501530408859253, -1.1965091228485107, -0.889769434928894, -1.5939420461654663, -1.41102933883667, -1.289322018623352, -1.7140283584594727, -1.6680667400360107, -1.4992204904556274, -1.2544585466384888, -1.2547264099121094, -1.306204080581665, -1.4853076934814453, -1.4353572130203247, -0.8019940853118896, -1.4435430765151978, -0.9836594462394714, -1.2495670318603516, -1.016259789466858, -1.5544853210449219, -1.1769535541534424, -0.9255680441856384, -1.266308307647705, -0.8966245651245117, -0.9274753332138062, -1.0265100002288818, -1.0520398616790771, -0.6934852600097656, -0.7637362480163574, -1.0793858766555786, -1.678694486618042, -1.194433569908142, -1.0051653385162354, -1.0693058967590332, -1.0164332389831543, -1.3508784770965576, -0.990439772605896, -1.249018669128418, -0.8509950041770935, -1.5321283340454102, -1.4761496782302856, -0.785554051399231, -1.2236827611923218, -0.7755440473556519, -1.1093311309814453, -0.883236825466156, -1.0460299253463745, -1.378111481666565, -1.4329122304916382, -0.8179705142974854, -1.2194569110870361, -1.4763565063476562, -1.3803260326385498, -1.190985083580017, -1.1111929416656494, -1.3165557384490967, -0.9767789840698242, -0.8027562499046326, -1.0465221405029297]","[7.352569103240967, 7.2754807472229, 7.356229782104492, 7.3436689376831055, 7.3016276359558105, 7.240448951721191, 7.298957347869873, 7.371041297912598, 7.316234588623047, 7.3791399002075195, 7.278040885925293, 7.343358993530273, 7.3678083419799805, 7.248969078063965, 7.272627830505371, 7.342906951904297, 7.34092903137207, 7.3060173988342285, 7.230399131774902, 7.428172588348389, 7.294154167175293, 7.307975769042969, 7.330272674560547, 7.327085018157959, 7.264084815979004, 7.299825191497803, 7.391039848327637, 7.280020236968994, 7.265277862548828, 7.300654411315918, 7.354011058807373, 7.150877952575684, 7.344767093658447, 7.223775863647461, 7.356415271759033, 7.324538707733154, 7.2260966300964355, 7.26711893081665, 7.4041428565979, 7.278592109680176, 7.273059368133545, 7.304272174835205, 7.355258941650391, 7.370696067810059, 7.279513835906982, 7.178153991699219, 7.291581153869629, 7.341945648193359, 7.261030197143555, 7.255297660827637, 7.313882827758789, 7.287914752960205, 7.338891983032227, 7.244629859924316, 7.330813884735107, 7.335274696350098, 7.259500026702881, 7.305482387542725, 7.356051445007324, 7.310469627380371, 7.27879524230957, 7.33549165725708, 7.256276607513428]",7.305944919586182,7.12802791595459
